Config,MAE,RMSE,MAPE,Directional Accuracy (%)
Baseline (Original),6.201501056573478,9.153757214710819,1.6405561046712047,53.4805890227577
Baseline - Close - Raw OBV,6.158693630474319,9.14831434634215,1.622827845254331,54.283801874163316
Full Patched,6.18484830647747,9.185197738163465,1.631257736914791,54.283801874163316
Naive Persistence,6.127382864792503,9.194442842467414,1.6214961929743497,0.06693440428380187
