ticker,company_name,sector,fetched_at
MEHT,Mehmood Textile Mills Limited,TEXTILE COMPOSITE,2026-09-10
MERIT,Merit Packaging Limited,"PAPER, BOARD & PACKAGING",2026-09-10
MERITR1,,"PAPER, BOARD & PACKAGING",2026-09-10
META,MetaTech Trading Limited,,2026-09-10
MFFL,Mitchells Fruit Farms Limited,FOOD & PERSONAL CARE PRODUCTS,2026-09-10
MFFLR1,Mitchells Fruit Farms Limited(Right),FOOD & PERSONAL CARE PRODUCTS,2026-09-10
MFL,Matco Foods Limited,FOOD & PERSONAL CARE PRODUCTS,2026-09-10
MFTM,Mohammad Farooq Textile Mills Limited,TEXTILE COMPOSITE,2026-09-10
MIRKS,Mirpurkhas Sugar Mills Limited,SUGAR & ALLIED INDUSTRIES,2026-09-10
MLCF,Maple Leaf Cement Factory Limited,CEMENT,2026-09-10
MLCFR1,Maple Leaf (R),,2026-09-10
MODAM,Modaraba Al-Mali,,2026-09-10
MODAMR1,MODARABA AL-MALI (R),MODARABAS,2026-09-10
MOHE,Mohib Exports Limited,TEXTILE WEAVING,2026-09-10
MOIL,Morafco Industries Limited,,2026-09-10
MOON,Moonlite (Pak) Limited,WOOLLEN,2026-09-10
MQTM,Maqbool Textile Mills Limited,TEXTILE SPINNING,2026-09-10
MRNS,Mehran Sugar Mills Limited,SUGAR & ALLIED INDUSTRIES,2026-09-10
MSCL,Metropolitan Steel Corporation Limited,ENGINEERING,2026-09-10
MSOT,Masood Textile Mills Limited,APPAREL,2026-09-10
MSOTPS,Masood Textile (Pref),APPAREL,2026-09-10
MTIL,Mian Textile Industries Limited,TEXTILE COMPOSITE,2026-09-10
MTL,Millat Tractors Limited,AUTOMOBILE ASSEMBLER,2026-09-10
MUBT,Mubarak Textile Mills Limited,TEXTILE COMPOSITE,2026-09-10
MUGHAL,Mughal Iron & Steel Industries Limited,ENGINEERING,2026-09-10
MUGHALC,Mughal Iron & Steel Industries Ltd(C),ENGINEERING,2026-09-10
MUGHALR1,Mughal Iron (R),,2026-09-10
MUKT,Mukhtar Textile Mills Limited,TEXTILE SPINNING,2026-09-10
MUREB,Murree Brewery Company Limited,FOOD & PERSONAL CARE PRODUCTS,2026-09-10
MWMP,Mandviwala Mauser Plastic Industries,MISCELLANEOUS,2026-09-10
MZSM,Mirza Sugar Mills Limited,SUGAR & ALLIED INDUSTRIES,2026-09-10
NAFL,National Fibres Limited,SYNTHETIC & RAYON,2026-09-10
NAGC,Nagina Cotton Mills Limited,TEXTILE SPINNING,2026-09-10
NATF,National Foods Limited,FOOD & PERSONAL CARE PRODUCTS,2026-09-10
NATM,Nadeem Textile Mills Limited,TEXTILE SPINNING,2026-09-10
NBP,National Bank of Pakistan,COMMERCIAL BANKS,2026-09-10
NCL,Nishat Chunian Limited,TEXTILE COMPOSITE,2026-09-10
NCML,Nazir Cotton Mills Limited,TEXTILE SPINNING,2026-09-10
NCPL,Nishat Chunian Power Limited,POWER GENERATION & DISTRIBUTION,2026-09-10
NESTLE,Nestle Pakistan Limited,FOOD & PERSONAL CARE PRODUCTS,2026-09-10
