ticker,company_name,sector,fetched_at
TPLP,TPL Properties Limited,PROPERTY,2026-09-10
TPLRF1,TPL REIT Fund I,REAL ESTATE INVESTMENT TRUST,2026-09-10
TPLT,TPL Trakker Limited,TECHNOLOGY & COMMUNICATION,2026-09-10
TREET,Treet Corporation Limited,FOOD & PERSONAL CARE PRODUCTS,2026-09-10
TREI,Transmission Engineering Industries Limited,AUTOMOBILE PARTS & ACCESSORIES,2026-09-10
TRG,TRG Pakistan Limited,TECHNOLOGY & COMMUNICATION,2026-09-10
TRIBL,Trust Investment Bank Limited,INV. BANKS / INV. COS. / SECURITIES COS.,2026-09-10
TRIPF,Tri-Pack Films Limited,MISCELLANEOUS,2026-09-10
TRPOL,Tri-Star Polyester Limited,SYNTHETIC & RAYON,2026-09-10
TRSM,Trust Modaraba,MODARABAS,2026-09-10
TSBL,Trust Securities & Brokerage Limited,INV. BANKS / INV. COS. / SECURITIES COS.,2026-09-10
TSMF,Tri-Star Mutual Fund Limited,CLOSE - END MUTUAL FUND,2026-09-10
TSML,Tandlianwala Sugar Mills Limited,SUGAR & ALLIED INDUSTRIES,2026-09-10
TSPL,Tri-Star Power Limited,POWER GENERATION & DISTRIBUTION,2026-09-10
UBDL,United Brands Limited,MISCELLANEOUS,2026-09-10
UBL,United Bank Limited,COMMERCIAL BANKS,2026-09-10
UBLGSFO,,,2026-09-10
UCAPM,Unicap Modaraba,MODARABAS,2026-09-10
UDLI,UDL International Limited,MISCELLANEOUS,2026-09-10
UDPL,United Distributors Pakistan Limited,MISCELLANEOUS,2026-09-10
UNIC,The United Insurance Company,INSURANCE,2026-09-10
UNITY,Unity Foods Limited,FOOD & PERSONAL CARE PRODUCTS,2026-09-10
UNITYR1,Unity Foods(R),,2026-09-10
UPFL,Unilever Pakistan Foods Limited,FOOD & PERSONAL CARE PRODUCTS,2026-09-10
USMT,Usman Textile Mills Limited,TEXTILE COMPOSITE,2026-09-10
UVIC,The Universal Insurance Company Limited,INSURANCE,2026-09-10
WAFI,Wafi Energy Pakistan Limited,OIL & GAS MARKETING COMPANIES,2026-09-10
WAHDAT,Wahdat Poultry Farm Limited,FOOD & PERSONAL CARE PRODUCTS,2026-09-10
WAHN,Wah Noble Chemicals Limited,CHEMICAL,2026-09-10
WASL,Wasl Mobility Modaraba,MODARABAS,2026-09-10
WASLR,Wasl Mobility Modaraba(Right),MODARABAS,2026-09-10
WAVES,Waves Corporation Limited,CABLE & ELECTRICAL GOODS,2026-09-10
WAVESAPP,Waves Home Appliances Limited,CABLE & ELECTRICAL GOODS,2026-09-10
WAVESAPPR,Waves Home Appliances Limited(Right),CABLE & ELECTRICAL GOODS,2026-09-10
WAVESR1,Waves Singer Pakistan Limited (R),,2026-09-10
WHALE,Waves Home Appliances Limited,CABLE & ELECTRICAL GOODS,2026-09-10
WTL,Worldcall Telecom Limited,TECHNOLOGY & COMMUNICATION,2026-09-10
WYETH,Wyeth Pakistan Limited,PHARMACEUTICALS,2026-09-10
YOUW,Yousaf Weaving Mills Limited,TEXTILE WEAVING,2026-09-10
ZAHID,Zahidjee Textile Mills Limited,TEXTILE COMPOSITE,2026-09-10
ZAL,Zarea Limited,TECHNOLOGY & COMMUNICATION,2026-09-10
ZELP,Zeal Pak Cement Factory Limited,CEMENT,2026-09-10
ZHCM,Zahur Cotton Mills Limited,TEXTILE COMPOSITE,2026-09-10
ZIL,ZIL Limited,FOOD & PERSONAL CARE PRODUCTS,2026-09-10
ZTL,Zephyr Textiles Limited,TEXTILE WEAVING,2026-09-10
ZUMA,Zuma Resources Limited,TECHNOLOGY & COMMUNICATION,2026-09-10
